Taxa_group,Phylum,Order,Family,Genus,Species,Final_ID,Primer_name
Fish,Chordata,Cyprinodontiformes,Fundulidae,Fundulus,diaphanus,Fundulus_diaphanus,COIFishdegen
Fish,Chordata,Esociformes,Esocidae,Esox,lucius,Esox_lucius,COIFishdegen
Fish,Chordata,Esociformes,Umbridae,Umbra,limi,Umbra_limi,COIFishdegen
Bird,Chordata,Galliformes,Phasianidae,Gallus,gallus,Gallus_gallus,COIFishdegen
Fish,Chordata,Gobiiformes,Gobiidae,Neogobius,melanostomus,Neogobius_melanostomus,COIFishdegen
Fish,Chordata,Gobiiformes,Gobiidae,Proterorhinus,semilunaris,Proterorhinus_semilunaris,COIFishdegen
Bird,Chordata,Gruiformes,Rallidae,Rallus,limicola,Rallus_limicola,COIFishdegen
Fish,Chordata,Lepisosteiformes,Lepisosteidae,Lepisosteus,osseus,Lepisosteus_osseus,COIFishdegen
Fish,Chordata,Osmeriformes,Osmeridae,Osmerus,mordax,Osmerus_mordax,COIFishdegen
Fish,Chordata,Perciformes,Centrarchidae,Ambloplites,rupestris,Ambloplites_rupestris,COIFishdegen
Fish,Chordata,Perciformes,Centrarchidae,Lepomis,gibbosus,Lepomis_gibbosus,COIFishdegen
Fish,Chordata,Perciformes,Centrarchidae,Micropterus,dolomieu,Micropterus_dolomieu,COIFishdegen
Fish,Chordata,Perciformes,Centrarchidae,Micropterus,salmoides,Micropterus_salmoides,COIFishdegen
Fish,Chordata,Perciformes,Moronidae,Morone,chrysops,Morone_chrysops,COIFishdegen
Fish,Chordata,Perciformes,Percidae,Etheostoma,olmstedi,Etheostoma_olmstedi,COIFishdegen
Fish,Chordata,Perciformes,Percidae,Perca,flavescens,Perca_flavescens,COIFishdegen
Fish,Chordata,Perciformes,Percidae,Sander,vitreus,Sander_vitreus,COIFishdegen
Fish,Chordata,Petromyzontiformes,Petromyzontidae,Petromyzon,marinus,Petromyzon_marinus,COIFishdegen
